phase,node_id,op,device,device_type,mode,start,end,duration
decode,L0_FFN_W2_E0,FFN_W2,PIM1,pim,FIXED_PLAN,1.104296745,1.104332288,3.55E-05
decode,L0_FFN_W2_E1,FFN_W2,PIM0,pim,FIXED_PLAN,1.104296979,1.104332521,3.55E-05
decode,L0_Router,MoE_Router,PIM1,pim,FIXED_PLAN,1.104332592,1.104332627,3.50E-08
decode,L0_Add2,Add,PIM0,pim,FIXED_PLAN,1.104332697,1.104332701,3.75E-09
decode,L1_LN1,LN,PIM1,pim,FIXED_PLAN,1.104332771,1.104334414,1.64E-06
decode,L1_Q_s0,Q,PIM0,pim,FIXED_PLAN,1.104334484,1.104340019,5.53E-06
decode,L1_K_s0,K,PIM0,pim,FIXED_PLAN,1.104340019,1.104342089,2.07E-06
decode,L1_V_s0,V,PIM0,pim,FIXED_PLAN,1.104342089,1.104344159,2.07E-06
decode,L1_Q_s1,Q,PIM1,pim,FIXED_PLAN,1.104334414,1.104339949,5.53E-06
decode,L1_K_s1,K,PIM1,pim,FIXED_PLAN,1.104339949,1.104342019,2.07E-06
decode,L1_V_s1,V,PIM1,pim,FIXED_PLAN,1.104342019,1.104344089,2.07E-06
decode,L1_K_write_s0,K_write,PIM0,pim,FIXED_PLAN,1.104344159,1.104344189,3.00E-08
decode,L1_QK_s0,QK,PIM0,pim,FIXED_PLAN,1.104344189,1.104365139,2.09E-05
decode,L1_V_write_s0,V_write,PIM0,pim,FIXED_PLAN,1.104365139,1.104365169,3.00E-08
decode,L1_K_write_s1,K_write,PIM1,pim,FIXED_PLAN,1.104344089,1.104344119,3.00E-08
decode,L1_QK_s1,QK,PIM1,pim,FIXED_PLAN,1.104344119,1.104365069,2.09E-05
decode,L1_V_write_s1,V_write,PIM1,pim,FIXED_PLAN,1.104365069,1.104365099,3.00E-08
decode,L1_Softmax_s0,Softmax,PIM0,pim,FIXED_PLAN,1.104365169,1.104374785,9.62E-06
decode,L1_Softmax_s1,Softmax,PIM1,pim,FIXED_PLAN,1.104365099,1.104374715,9.62E-06
decode,L1_SV_s0,SV,PIM0,pim,FIXED_PLAN,1.104374785,1.104405625,3.08E-05
decode,L1_SV_s1,SV,PIM1,pim,FIXED_PLAN,1.104374715,1.104405555,3.08E-05
decode,L1_O_s0,O,PIM1,pim,FIXED_PLAN,1.104405663,1.104410741,5.08E-06
decode,L1_O_s1,O,PIM0,pim,FIXED_PLAN,1.104405625,1.104410703,5.08E-06
decode,L1_AllReduce_O,ALLREDUCE,COMM,comm,FIXED_COMM,1.104410741,1.104410806,6.54E-08
decode,L1_Add1,Add,PIM0,pim,FIXED_PLAN,1.104410806,1.10441081,3.75E-09
decode,L1_LN2,LN,PIM1,pim,FIXED_PLAN,1.10441088,1.104412523,1.64E-06
decode,L1_FFN_W1_E0,FFN_W1,PIM0,pim,FIXED_PLAN,1.104412593,1.104448663,3.61E-05
decode,L1_FFN_W3_E0,FFN_W3,PIM1,pim,FIXED_PLAN,1.104412523,1.104445778,3.33E-05
decode,L1_FFN_W1_E1,FFN_W1,PIM1,pim,FIXED_PLAN,1.104445778,1.104481848,3.61E-05
decode,L1_FFN_W3_E1,FFN_W3,PIM0,pim,FIXED_PLAN,1.104448663,1.104481918,3.33E-05
decode,L1_Act_E0,SwiGLU,PIM1,pim,FIXED_PLAN,1.104481848,1.104483206,1.36E-06
decode,L1_Act_E1,SwiGLU,PIM0,pim,FIXED_PLAN,1.104482081,1.10448344,1.36E-06
decode,L1_FFN_W2_E0,FFN_W2,PIM1,pim,FIXED_PLAN,1.104483206,1.104518749,3.55E-05
decode,L1_FFN_W2_E1,FFN_W2,PIM0,pim,FIXED_PLAN,1.10448344,1.104518983,3.55E-05
decode,L1_Router,MoE_Router,PIM1,pim,FIXED_PLAN,1.104519053,1.104519088,3.50E-08
decode,L1_Add2,Add,PIM0,pim,FIXED_PLAN,1.104519158,1.104519162,3.75E-09
decode,L2_LN1,LN,PIM1,pim,FIXED_PLAN,1.104519232,1.104520875,1.64E-06
decode,L2_Q_s0,Q,PIM0,pim,FIXED_PLAN,1.104520945,1.10452648,5.53E-06
decode,L2_K_s0,K,PIM0,pim,FIXED_PLAN,1.10452648,1.10452855,2.07E-06
decode,L2_V_s0,V,PIM0,pim,FIXED_PLAN,1.10452855,1.10453062,2.07E-06
decode,L2_Q_s1,Q,PIM1,pim,FIXED_PLAN,1.104520875,1.10452641,5.53E-06
decode,L2_K_s1,K,PIM1,pim,FIXED_PLAN,1.10452641,1.10452848,2.07E-06
decode,L2_V_s1,V,PIM1,pim,FIXED_PLAN,1.10452848,1.10453055,2.07E-06
decode,L2_K_write_s0,K_write,PIM0,pim,FIXED_PLAN,1.10453062,1.10453065,3.00E-08
decode,L2_QK_s0,QK,PIM0,pim,FIXED_PLAN,1.10453065,1.1045516,2.09E-05
decode,L2_V_write_s0,V_write,PIM0,pim,FIXED_PLAN,1.1045516,1.10455163,3.00E-08
decode,L2_K_write_s1,K_write,PIM1,pim,FIXED_PLAN,1.10453055,1.10453058,3.00E-08
decode,L2_QK_s1,QK,PIM1,pim,FIXED_PLAN,1.10453058,1.10455153,2.09E-05
decode,L2_V_write_s1,V_write,PIM1,pim,FIXED_PLAN,1.10455153,1.10455156,3.00E-08
