instr,addr,pipe,call_count,cycles,running_time(us),detail
ST_XD_XN_IMM,0x10d118e8,SCALAR,1,37,0.000000,"dtype:B8,XD:X6=0,XN:X30=0x1080b0,IMM:0xdd7,"
ST_XD_XN_IMM,0x10d1187c,SCALAR,1,37,0.000000,"dtype:B8,XD:X2=0,XN:X30=0x1080b0,IMM:0xdb9,"
ST_XD_XN_IMM,0x10d11878,SCALAR,1,37,0.000000,"dtype:B8,XD:X4=0,XN:X30=0x1080b0,IMM:0xd8e,"
ST_XD_XN_IMM,0x10d113b0,SCALAR,1,34,0.000000,"dtype:B32,XD:X4=0xffff0300,XN:X1=0x107a68,IMM:0,"
ST_XD_XN_IMM,0x10d116a4,SCALAR,1,32,0.000000,"dtype:B8,XD:X0=0x1,XN:X30=0x1080b0,IMM:0xe01,"
ST_XD_XN_IMM,0x10d1182c,SCALAR,1,32,0.000000,"dtype:B8,XD:X4=0x1,XN:X30=0x1080b0,IMM:0xda1,"
ST_XD_XN_IMM,0x10d113f4,SCALAR,1,32,0.000000,"dtype:B8,XD:X4=0,XN:X30=0x1080b0,IMM:0xd8f,"
ST_XD_XN_IMM,0x10d112d0,SCALAR,1,30,0.000000,"dtype:B32,XD:X4=0xffff0300,XN:X9=0x107a38,IMM:0,"
ST_XD_XN_IMM,0x10d112d4,SCALAR,1,29,0.000000,"dtype:B32,XD:X10=0,XN:X11=0x107a3c,IMM:0,"
ADD_IMM,0x10d11984,SCALAR,28,28,0.010000,"dtype:S64,XD:X10=0x1,XN:X8=0,IMM:0x1,"
MOV_XD_XN,0x10d1197c,SCALAR,28,28,0.010000,"dtype:S64,XD:X9=0,XN:X6=0,"
SHL,0x10d11988,SCALAR,28,28,0.010000,"dtype:B64,XD:X8=0,DATA_SRC:IMM,IMM:0x9,"
ADD,0x10d1198c,SCALAR,28,28,0.010000,"dtype:S64,XD:X8=0x200,XN:X8=0,XM:X2=0x200,"
ZEROEXT,0x10d11990,SCALAR,28,28,0.010000,"dtype:U32,XD:X9=0,XN:X9=0,"
ZEROEXT,0x10d11994,SCALAR,28,28,0.010000,"dtype:U32,XD:X11=0x200,XN:X8=0x200,"
MOV_XD_XN,0x10d11998,SCALAR,28,28,0.010000,"dtype:S64,XD:X8=0x1,XN:X10=0x1,"
CMP,0x10d1199c,SCALAR,28,28,0.010000,"dtype:S64,XN:X5=0x100,XM:X10=0x1,cond_op:NE,"
STI_XN_IMM,0x10d113bc,SCALAR,1,25,0.000000,"dtype:B32,XN:X1=0x107a68,IMM:0xc,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x10d113b8,SCALAR,1,25,0.000000,"dtype:B32,XD:X6=0x4000,XN:X1=0x107a68,IMM:0x8,"
ST_XD_XN_IMM,0x10d113b4,SCALAR,1,25,0.000000,"dtype:B32,XD:X5=0,XN:X3=0x107a6c,IMM:0,"
STI_XN_IMM,0x10d1185c,SCALAR,1,23,0.000000,"dtype:B8,XN:X0=0x107a08,IMM:0,#POST:0,#IMM_TYPE:ZERO,"
ST_XD_XN_IMM,0x10d11858,SCALAR,1,23,0.000000,"dtype:B8,XD:X5=0,XN:X0=0x107a08,IMM:0x3,"
ST_XD_XN_IMM,0x10d11854,SCALAR,1,22,0.000000,"dtype:B64,XD:X3=0x1,XN:X2=0x107928,IMM:0x8,"
ST_XD_XN_IMM,0x10d11214,SCALAR,1,21,0.000000,"dtype:B32,XD:X5=0xffff0100,XN:X4=0x107a08,IMM:0,"
ST_XD_XN_IMM,0x10d11218,SCALAR,1,21,0.000000,"dtype:B32,XD:X9=0,XN:X10=0x107a0c,IMM:0,"
ST_XD_XN_IMM,0x10d1121c,SCALAR,1,21,0.000000,"dtype:B32,XD:X8=0x200,XN:X4=0x107a08,IMM:0x8,"
STI_XN_IMM,0x10d11220,SCALAR,1,21,0.000000,"dtype:B32,XN:X4=0x107a08,IMM:0xc,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x10d11690,SCALAR,1,19,0.000000,"dtype:B8,XD:X5=0x1,XN:X3=0x107a28,IMM:0x2,"
STI_XN_XM,0x10d118f8,SCALAR,1,17,0.000000,"dtype:B8,XN:X3=0x107a38,XM:X4=0,#POST:0,#IMM_TYPE:ONE,"
ST_XD_XN_IMM,0x10d1168c,SCALAR,1,17,0.000000,"dtype:B64,XD:X0=0x3,XN:X2=0x107928,IMM:0,"
ST_XD_XN_IMM,0x10d11674,SCALAR,1,16,0.000000,"dtype:B64,XD:X5=0x107a28,XN:X30=0x1080b0,IMM:0xdc0,"
STI_XN_XM,0x10d1174c,SCALAR,1,15,0.000000,"dtype:B8,XN:X3=0x107a18,XM:X4=0,#POST:0,#IMM_TYPE:ONE,"
ST_XD_XN_IMM,0x10d112e4,SCALAR,1,14,0.000000,"dtype:B32,XD:X7=0x20000,XN:X30=0x1080b0,IMM:0x948,"
ST_XD_XN_IMM,0x10d1125c,SCALAR,1,13,0.000000,"dtype:B32,XD:X8=0x200,XN:X10=0x107a18,IMM:0x8,"
ST_XD_XN_IMM,0x10d11258,SCALAR,1,13,0.000000,"dtype:B32,XD:X11=0,XN:X12=0x107a1c,IMM:0,"
ST_XD_XN_IMM,0x10d11254,SCALAR,1,13,0.000000,"dtype:B32,XD:X4=0xffff0300,XN:X10=0x107a18,IMM:0,"
STI_XN_IMM,0x10d11264,SCALAR,1,13,0.000000,"dtype:B32,XN:X10=0x107a18,IMM:0xc,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x10d1167c,SCALAR,1,12,0.000000,"dtype:B8,XD:X0=0x1,XN:X30=0x1080b0,IMM:0xdb9,"
ST_XD_XN_IMM,0x10d114ec,SCALAR,1,10,0.000000,"dtype:B8,XD:X7=0x1,XN:X30=0x1080b0,IMM:0xdbe,"
ST_XD_XN_IMM,0x10d11950,SCALAR,1,10,0.000000,"dtype:B8,XD:X4=0x1,XN:X30=0x1080b0,IMM:0xdd6,"
ST_XD_XN_IMM,0x10d117a4,SCALAR,1,10,0.000000,"dtype:B8,XD:X4=0x1,XN:X30=0x1080b0,IMM:0xda6,"
MOV_SPR_XN,0x10d1105c,MTE2,2,8,0.000000,"SPR:PADDING,XN:X0=0,id:2"
ST_XD_XN_IMM,0x10d11708,SCALAR,1,7,0.000000,"dtype:B64,XD:X4=0x6,XN:X1=0x107928,IMM:0,"
LD_XD_XN_IMM,0x10d116a8,SCALAR,1,7,0.000000,"dtype:B64,XD:X0=0,XN:X2=0x107928,IMM:0,"
LD_XD_XN_IMM,0x10d117b8,SCALAR,1,7,0.000000,"dtype:B32,XD:X4=0,XN:X3=0x107a18,IMM:0x4,"
LD_XD_XN_IMM,0x10d1171c,SCALAR,1,7,0.000000,"dtype:B8,XD:X6=0,XN:X30=0x1080b0,IMM:0xda7,"
LD_XD_XN_IMM,0x10d11718,SCALAR,1,7,0.000000,"dtype:B8,XD:X2=0,XN:X30=0x1080b0,IMM:0xda0,"
LD_XD_XN_IMM,0x10d11714,SCALAR,1,7,0.000000,"dtype:B64,XD:X3=0,XN:X30=0x1080b0,IMM:0xdb0,"
LD_XD_XN_IMM,0x10d11710,SCALAR,1,7,0.000000,"dtype:B32,XD:X1=0,XN:X0=0x107a08,IMM:0x4,"
LD_XD_XN_IMM,0x10d11698,SCALAR,1,6,0.000000,"dtype:B64,XD:X2=0,XN:X1=0x100000,IMM:0,"
LD_XD_XN_IMM,0x10d11694,SCALAR,1,6,0.000000,"dtype:B8,XD:X0=0,XN:X30=0x1080b0,IMM:0xe01,"
LD_XD_XN_IMM,0x10d11844,SCALAR,1,5,0.000000,"dtype:B64,XD:X2=0,XN:X1=0x100000,IMM:0,"
LD_XD_XN_IMM,0x10d11498,SCALAR,1,5,0.000000,"dtype:B8,XD:X7=0,XN:X5=0x107a28,IMM:0x3,"
LD_XD_XN_IMM,0x10d116f8,SCALAR,1,5,0.000000,"dtype:B64,XD:X4=0,XN:X1=0x107928,IMM:0,"
LD_XD_XN,0x10d118ec,SCALAR,1,5,0.000000,"dtype:B8,XD:X7=0,XN:X3=0x107a38,XM:X4=0,#POST:0,"
LD_XD_XN_IMM,0x10d118fc,SCALAR,1,5,0.000000,"dtype:B8,XD:X5=0,XN:X1=0x107a38,IMM:0x3,"
LD_XD_XN_IMM,0x10d1193c,SCALAR,1,5,0.000000,"dtype:B8,XD:X6=0,XN:X30=0x1080b0,IMM:0xdd6,"
LD_XD_XN_IMM,0x10d11940,SCALAR,1,5,0.000000,"dtype:B16,XD:X5=0,XN:X30=0x1080b0,IMM:0xeba,"
LD_XD_XN_IMM,0x10d11958,SCALAR,1,5,0.000000,"dtype:B16,XD:X4=0,XN:X30=0x1080b0,IMM:0xeb8,"
LD_XD_XN_IMM,0x10d114d8,SCALAR,1,5,0.000000,"dtype:B8,XD:X7=0,XN:X30=0x1080b0,IMM:0xdbe,"
LD_XD_XN_IMM,0x10d114e0,SCALAR,1,5,0.000000,"dtype:B64,XD:X9=0,XN:X30=0x1080b0,IMM:0xe10,"
LD_XD_XN_IMM,0x10d114e8,SCALAR,1,5,0.000000,"dtype:B8,XD:X12=0,XN:X30=0x1080b0,IMM:0xe07,"
LD_XD_XN_IMM,0x10d114f0,SCALAR,1,5,0.000000,"dtype:B32,XD:X8=0,XN:X8=0x107a28,IMM:0x4,"
LD_XD_XN_IMM,0x10d114f4,SCALAR,1,5,0.000000,"dtype:B8,XD:X7=0,XN:X30=0x1080b0,IMM:0xe00,"
LD_XD_XN_IMM,0x10d11848,SCALAR,1,5,0.000000,"dtype:B64,XD:X3=0,XN:X2=0x107928,IMM:0x8,"
LD_XD_XN_IMM,0x10d11310,SCALAR,1,5,0.000000,"dtype:B32,XD:X9=0,XN:X30=0x1080b0,IMM:0x94c,"
LD_XD_XN_IMM,0x10d113c0,SCALAR,1,5,0.000000,"dtype:B64,XD:X1=0,XN:X30=0x1080b0,IMM:0xd98,"
LD_XD_XN_IMM,0x10d11448,SCALAR,1,5,0.000000,"dtype:B8,XD:X3=0,XN:X30=0x1080b0,IMM:0xd8e,"
LD_XD_XN_IMM,0x10d11408,SCALAR,1,5,0.000000,"dtype:B8,XD:X3=0,XN:X0=0x107a08,IMM:0x3,"
LD_XD_XN_IMM,0x10d11450,SCALAR,1,5,0.000000,"dtype:B8,XD:X5=0,XN:X30=0x1080b0,IMM:0xdb8,"
LD_XD_XN,0x10d113f8,SCALAR,1,5,0.000000,"dtype:B8,XD:X5=0,XN:X1=0x107a08,XM:X2=0,#POST:0,"
LD_XD_XN_IMM,0x10d11864,SCALAR,1,5,0.000000,"dtype:B8,XD:X2=0,XN:X30=0x1080b0,IMM:0xdb9,"
LD_XD_XN_IMM,0x10d11458,SCALAR,1,5,0.000000,"dtype:B8,XD:X8=0,XN:X30=0x1080b0,IMM:0xdbf,"
LD_XD_XN_IMM,0x10d11460,SCALAR,1,5,0.000000,"dtype:B32,XD:X6=0,XN:X4=0x107a08,IMM:0x4,"
LD_XD_XN_IMM,0x10d11464,SCALAR,1,5,0.000000,"dtype:B64,XD:X3=0,XN:X30=0x1080b0,IMM:0xdc8,"
LD_XD_XN_IMM,0x10d116bc,SCALAR,1,5,0.000000,"dtype:B8,XD:X2=0,XN:X30=0x1080b0,IMM:0xd89,"
LD_XD_XN_IMM,0x10d116c0,SCALAR,1,5,0.000000,"dtype:B64,XD:X0=0,XN:X30=0x1080b0,IMM:0xd90,"
