Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,40,1,32,16,2048,0.2164525,0.0006398072596958,0.0223105,0.2394028072596958,0.1499815,9.876093790387836,4050.184298465354,135.09157608033763,624.1164970621156,1.0
Llama2-13B,20,40,1,32,16,2176,0.222835,0.0006398072596958,0.0234104999999999,0.2468853072596958,0.1499815,10.175393790387837,3931.051792588698,137.29055021688194,616.1085566310581,1.0
Llama2-13B,20,40,1,32,16,2304,0.2250065,0.0006398072596958,0.0245105,0.2501568072596958,0.1499815,10.306253790387832,3881.138657511632,137.68419057030184,611.9120584085429,1.0
Llama2-13B,20,40,1,32,16,2432,0.229399,0.0006398072596958,0.0256104999999999,0.2556493072596958,0.1499815,10.525953790387836,3800.130686164277,138.98328373469488,605.8582807017244,1.0
Llama2-13B,20,40,1,32,16,2560,0.2315705,0.0006398072596958,0.0267105,0.2589208072596959,0.1499815,10.656813790387837,3753.467104405912,139.3769240881148,601.8768542975672,1.0
Llama2-13B,20,40,1,32,16,2688,0.235963,0.0006398072596958,0.0278105,0.2644133072596958,0.1499815,10.876513790387834,3677.6489940508486,140.67601725250788,596.178287496378,1.0
Llama2-13B,20,40,1,32,16,2816,0.2381345,0.0006398072596958,0.0289105,0.2676848072596958,0.1499815,11.007373790387833,3633.9276526549793,141.0696576059278,592.3948760298393,1.0
Llama2-13B,20,40,1,32,16,2944,0.242527,0.0006398072596958,0.0300105,0.2731773072596958,0.1499815,11.227073790387836,3562.8161662432803,142.36875077032087,587.0222728616642,1.0
Llama2-13B,20,40,1,32,16,3072,0.2446985,0.0006398072596958,0.0311105,0.2764488072596959,0.1499815,11.357933790387834,3521.7673159753595,142.76239112374077,583.4216030083583,1.0
Llama2-13B,20,40,1,32,16,3200,0.251081,0.0006398072596958,0.0322105,0.2839313072596958,0.1499815,11.657233790387831,3431.3457823058047,144.9613652602851,577.3490039480687,1.0
Llama2-13B,20,40,1,32,16,3328,0.2532525,0.0006398072596958,0.0333105,0.2872028072596959,0.1499815,11.788093790387835,3393.254304832264,145.35500561370503,573.9528952871343,1.0
