phase,node_id,op,device,device_type,mode,start,end,duration
decode,L17_Q_s0,Q,PIM0,pim,FIXED_PLAN,0.892626095,0.892648055,2.20E-05
decode,L17_K_s0,K,PIM0,pim,FIXED_PLAN,0.892648055,0.892662055,1.40E-05
decode,L17_V_s0,V,PIM0,pim,FIXED_PLAN,0.892662055,0.892676055,1.40E-05
decode,L17_Q_s1,Q,PIM1,pim,FIXED_PLAN,0.892625301,0.892647261,2.20E-05
decode,L17_K_s1,K,PIM1,pim,FIXED_PLAN,0.892647261,0.892661261,1.40E-05
decode,L17_V_s1,V,PIM1,pim,FIXED_PLAN,0.892661261,0.892675261,1.40E-05
decode,L17_K_write_s0,K_write,PIM0,pim,FIXED_PLAN,0.892676055,0.892676085,3.00E-08
decode,L17_QK_s0,QK,PIM0,pim,FIXED_PLAN,0.892676085,0.893174485,0.0004984
decode,L17_V_write_s0,V_write,PIM0,pim,FIXED_PLAN,0.893174485,0.893174515,3.00E-08
decode,L17_K_write_s1,K_write,PIM1,pim,FIXED_PLAN,0.892675261,0.892675291,3.00E-08
decode,L17_QK_s1,QK,PIM1,pim,FIXED_PLAN,0.892675291,0.893173691,0.0004984
decode,L17_V_write_s1,V_write,PIM1,pim,FIXED_PLAN,0.893173691,0.893173721,3.00E-08
decode,L17_Softmax_s0,Softmax,PIM0,pim,FIXED_PLAN,0.893174515,0.893278355,0.00010384
decode,L17_Softmax_s1,Softmax,PIM1,pim,FIXED_PLAN,0.893173721,0.893277561,0.00010384
decode,L17_SV_s0,SV,PIM0,pim,FIXED_PLAN,0.893278355,0.894012035,0.00073368
decode,L17_SV_s1,SV,PIM1,pim,FIXED_PLAN,0.893277561,0.894011241,0.00073368
decode,L17_O_s0,O,PIM1,pim,FIXED_PLAN,0.894012433,0.894027393,1.50E-05
decode,L17_O_s1,O,PIM0,pim,FIXED_PLAN,0.894012035,0.894026995,1.50E-05
decode,L17_AllReduce_O,ALLREDUCE,COMM,comm,FIXED_COMM,0.894027393,0.894028177,7.84E-07
decode,L17_Add1,Add,PIM0,pim,FIXED_PLAN,0.894028177,0.894028237,6.00E-08
decode,L17_LN2,LN,PIM1,pim,FIXED_PLAN,0.894029032,0.894052112,2.31E-05
decode,L17_FFN_W1_s0,FFN_W1,PIM0,pim,FIXED_PLAN,0.894052906,0.894144106,9.12E-05
decode,L17_FFN_W3_s0,FFN_W3,PIM1,pim,FIXED_PLAN,0.894052112,0.894129792,7.77E-05
decode,L17_FFN_W1_s1,FFN_W1,PIM1,pim,FIXED_PLAN,0.894129792,0.894220992,9.12E-05
decode,L17_FFN_W3_s1,FFN_W3,PIM0,pim,FIXED_PLAN,0.894144106,0.894221786,7.77E-05
decode,L17_SwiGLU_s0,SwiGLU,PIM1,pim,FIXED_PLAN,0.894220992,0.894231052,1.01E-05
decode,L17_SwiGLU_s1,SwiGLU,PIM0,pim,FIXED_PLAN,0.894223305,0.894233365,1.01E-05
decode,L17_FFN_W2_s0,FFN_W2,PIM1,pim,FIXED_PLAN,0.894231052,0.894312252,8.12E-05
decode,L17_FFN_W2_s1,FFN_W2,PIM0,pim,FIXED_PLAN,0.894233365,0.894314565,8.12E-05
decode,L17_AllReduce_FFN,ALLREDUCE,COMM,comm,FIXED_COMM,0.894314565,0.894315349,7.84E-07
